m_barabasi_albert,red_ratio,mafia_win_rate
13,0.7,0.57
13,0.71,0.59
13,0.72,0.6
13,0.73,0.51
13,0.74,0.57
13,0.75,0.47
13,0.76,0.45
13,0.77,0.51
13,0.78,0.47
13,0.79,0.46
13,0.8,0.54
13,0.81,0.44
13,0.82,0.56
13,0.83,0.58
13,0.84,0.4
13,0.85,0.44
13,0.86,0.4
13,0.87,0.41
13,0.88,0.48
13,0.89,0.42
13,0.9,0.37
13,0.91,0.34
13,0.92,0.43
13,0.93,0.43
13,0.94,0.38
13,0.95,0.48
13,0.96,0.43
13,0.97,0.43
13,0.98,0.37
13,0.99,0.38
13,1.0,0.32
14,0.01,0.6
14,0.02,0.6
14,0.03,0.64
14,0.04,0.64
14,0.05,0.67
14,0.06,0.66
14,0.07,0.65
14,0.08,0.61
14,0.09,0.67
14,0.1,0.67
14,0.11,0.7
14,0.12,0.72
14,0.13,0.72
14,0.14,0.62
14,0.15,0.62
14,0.16,0.64
14,0.17,0.79
14,0.18,0.65
14,0.19,0.66
14,0.2,0.69
14,0.21,0.76
14,0.22,0.7
14,0.23,0.62
14,0.24,0.69
14,0.25,0.68
14,0.26,0.68
14,0.27,0.69
14,0.28,0.71
14,0.29,0.81
14,0.3,0.68
14,0.31,0.66
14,0.32,0.6
14,0.33,0.68
14,0.34,0.65
14,0.35,0.64
14,0.36,0.74
14,0.37,0.62
14,0.38,0.7
14,0.39,0.72
14,0.4,0.74
14,0.41,0.64
14,0.42,0.73
14,0.43,0.76
14,0.44,0.75
14,0.45,0.64
14,0.46,0.7
14,0.47,0.74
14,0.48,0.72
14,0.49,0.75
14,0.5,0.68
14,0.51,0.6
14,0.52,0.72
14,0.53,0.7
14,0.54,0.67
14,0.55,0.57
14,0.56,0.7
14,0.57,0.65
14,0.58,0.69
14,0.59,0.58
14,0.6,0.63
14,0.61,0.59
14,0.62,0.61
14,0.63,0.65
14,0.64,0.56
14,0.65,0.54
14,0.66,0.57
14,0.67,0.55
14,0.68,0.64
14,0.69,0.5
14,0.7,0.61
14,0.71,0.54
14,0.72,0.54
14,0.73,0.55
14,0.74,0.57
14,0.75,0.44
14,0.76,0.51
14,0.77,0.39
14,0.78,0.43
14,0.79,0.43
14,0.8,0.45
14,0.81,0.45
14,0.82,0.44
14,0.83,0.47
14,0.84,0.48
